"SQUARE","Z..m.","DEPTH","N","Numéro.EBS"
NA,NA,NA,NA,"60557"
"N",-1.41,110,3,"60558"
"N",-1.47,100,7,"60559"
NA,NA,NA,NA,"60560"
"H",-1.52,98,NA,"60561"
"H-I",-1.59,117,NA,"60562"
"D",-1.61,130,9,"60563"
"D",-1.63,132,11,"60564"
"D",-1.73,132,NA,"55456"
"M",NA,85,NA,"62480"
"D",-1.69,138,5,"60566"
"F",-1.72,NA,NA,"60567"
NA,NA,NA,NA,"60568"
"D",-1.73,137,4,"60569"
"F",-1.73,141,NA,"55472"
"N",-1.42,95,NA,"60570"
"N",-1.47,100,NA,"60571"
"N",-1.55,108,NA,"60572"
"N",-1.65,118,NA,"60573"
"N",-1.64,117,NA,"60574"
"N",-1.72,125,NA,"60575"
"N",-1.73,126,NA,"60576"
"N",-1.73,126,NA,"60577"
"N",-1.74,127,NA,"60578"
"N",-1.76,129,NA,"60579"
"N",-1.73,126,NA,"60580"
"N",-1.77,130,NA,"60581"
"N",-1.78,131,2,"60582"
"N",-1.75,NA,2,"60583"
"N",-1.77,NA,NA,"60584"
"N",-1.75,NA,NA,"60585"
"N",-1.73,NA,2,"60586"
"N",-1.75,NA,NA,"60587"
"N",-1.73,NA,2,"60588"
"N",-1.75,NA,2,"60589"
"N",-1.77,NA,NA,"60590"
"N",-1.74,NA,NA,"60591"
"N",-1.77,NA,NA,"60592"
"N",-1.78,NA,2,"60593"
"N",-1.77,NA,NA,"60594"
"D",-1.78,147,4,"60595"
"E",-1.78,145,17,"60596"
"D-E",-1.8,145,6,"60597"
"D",-1.8,NA,4,"60598"
"D",-1.81,NA,12,"60599"
"G",-1.82,NA,NA,"55460"
"E-F",-1.87,NA,NA,"60600"
"F",NA,NA,NA,"60601"
"F-J",-1.87,NA,3,"60602"
"D-M",-1.87,NA,NA,"55459"
"H-L",-1.94,NA,NA,"60603"
"H-L",-2.47,NA,NA,"60604"
"H-L",-1.91,NA,NA,"60605"
"H-L",-1.88,NA,NA,"60606"
"H-L",-1.88,NA,4,"60607"
"H-L",-1.93,NA,NA,"60608"
"H",-1.89,NA,NA,"60609"
"H-L",-1.94,NA,NA,"55458"
"H-L",-1.94,NA,NA,"60610"
"H-L",-1.94,NA,NA,"60611"
"L",-1.83,NA,NA,"60612"
"L",-1.81,NA,3,"60613"
"L",-1.88,NA,NA,"60614"
"L",-1.84,NA,2,"60615"
"L",-1.9,NA,3,"60616"
"C",-1.9,NA,3,"60617"
"F-J",-1.9,NA,5,"60618"
"H-L",-1.91,NA,NA,"60619"
"H-I",-1.93,NA,17,"60620"
"C",-1.92,NA,18,"60621"
"C-L",-1.92,NA,NA,"60622"
"C-L",-1.92,NA,NA,"55461"
"C-L",-1.92,NA,NA,"55462"
"C-L",-1.92,NA,NA,"55463"
"x",-1.96,NA,NA,"62371"
"F-J",-1.93,NA,6,"60624"
"H-L",-1.93,NA,NA,"55454"
"H-I",-1.93,NA,NA,"55464"
"F",-1.93,NA,NA,"55471"
"H",-1.95,NA,NA,"60625"
"H",-1.93,NA,NA,"60626"
"L",-1.94,NA,NA,"60627"
"H-L",-1.94,NA,85,"60628"
"F",-1.97,NA,6,"60629"
NA,NA,NA,NA,"60630"
NA,NA,NA,NA,"60631"
"F",-1.99,NA,2,"60632"
"F",-1.99,NA,NA,"60633"
"D",-2.01,NA,NA,"55465"
"H-L",-2.03,NA,30,"60634"
"L",-2.04,NA,NA,"60635"
"L",-2.04,NA,NA,"60636"
"L",-2.05,NA,NA,"60637"
"L",-2.05,146,NA,"60638"
"L",-2.28,169,NA,"60639"
"L",-2.1,151,NA,"60640"
"L",-2.1,151,NA,"60641"
"L",-2.24,NA,NA,"60642"
"L",-2.09,NA,NA,"60643"
"D-M",-2.08,NA,NA,"55466"
"x",-1.97,NA,NA,"60712"
"F",-2.14,184,5,"60645"
"F",-2.17,NA,5,"60646"
"x",-1.98,NA,NA,"62372"
"H-I",-2.5,NA,NA,"60648"
"H-I",-2.55,NA,2,"60649"
"H-I",-2.47,NA,2,"60650"
"N",-2.16,NA,NA,"60651"
"N",-2.13,NA,NA,"60652"
"N",-2.19,NA,NA,"60653"
"N",-2.14,NA,NA,"60654"
"N",-2.17,NA,NA,"60655"
"x",-2,NA,3,"62373"
NA,NA,NA,NA,"60657"
NA,NA,NA,NA,"55467"
"x",-2.14,NA,NA,"60644"
"F",-2.22,NA,8,"60659"
"x",-2.2,NA,NA,"60656"
"F",-2.24,NA,NA,"60661"
"M",NA,86,NA,"62330"
"E",-2.28,NA,NA,"60663"
"F",-2.28,NA,NA,"60664"
"F",-2.28,NA,NA,"60665"
"F",-2.66,NA,NA,"60666"
"F",-2.66,NA,NA,"60667"
"F",-2.63,NA,NA,"60668"
"F",-2.66,NA,NA,"60669"
"F",-2.3,NA,NA,"60670"
"F",-2.32,NA,NA,"60671"
"F",-2.34,NA,NA,"60672"
"x",-2.21,NA,NA,"60658"
"E",-2.51,NA,2,"60674"
"F",-2.6,NA,NA,"60675"
"L",-2.38,NA,7,"60676"
"x",-2.22,NA,NA,"60660"
"F",-2.65,NA,NA,"60677"
"x",-2.29,NA,NA,"62374"
"F",-2.66,NA,12,"60679"
"x",-2.35,NA,NA,"60673"
"C-D",-3.11,NA,NA,"60681"
"H",-3.29,NA,NA,"60682"
"x",-2.48,NA,NA,"60647"
"x",-2.52,NA,NA,"62375"
"x",-2.55,NA,3,"62376"
"x",-2.56,NA,3,"60744"
"x",-2.64,NA,NA,"55468"
"x",-2.64,NA,NA,"55469"
"x",-2.64,NA,NA,"55470"
"x",-2.64,NA,NA,"55468"
"x",-2.66,NA,NA,"60678"
"x",-2.72,NA,NA,"60680"
"x",-2.82,NA,NA,"62379"
"x",-2.84,NA,6,"62380"
"x",-2.85,NA,3,"60745"
"F-M",-3.92,NA,NA,"60695"
"x",-3.36,NA,NA,"62381"
"x",-3.39,NA,NA,"55469"
"x",-3.39,NA,NA,"55470"
"x",-3.43,NA,NA,"60683"
"x",-3.43,NA,NA,"60684"
"x",-3.43,NA,NA,"60685"
"x",-3.43,NA,4,"60746"
"x",-3.46,NA,2,"62382"
"x",-3.48,NA,15,"60747"
"x",-3.52,NA,NA,"60686"
"x",-3.55,NA,NA,"60687"
"x",-3.55,NA,NA,"60748"
"x",-3.58,NA,NA,"60688"
"x",-3.59,NA,24,"60749"
"x",-3.6,NA,36,"60750"
"x",-3.63,NA,4,"62383"
"x",-3.65,NA,30,"62384"
"x",-3.66,NA,39,"60751"
"x",-3.67,NA,33,"60752"
"E-N",-1.74,NA,NA,"60714"
"x",-3.69,NA,NA,"60689"
NA,NA,NA,NA,"60716"
"x",-3.69,NA,5,"60767"
"F",-2.32,NA,2,"60718"
"x",-3.7,NA,12,"62385"
"x",-3.72,NA,NA,"60690"
"x",-3.72,NA,NA,"60691"
"x",-3.74,NA,3,"62386"
"x",-3.77,NA,54,"62387"
"x",-3.78,NA,12,"62388"
"x",-3.78,NA,309,"62389"
"x",-3.79,NA,NA,"60692"
"x",-3.79,NA,9,"62390"
"N",-1.64,NA,3,"60728"
NA,NA,NA,NA,"60729"
NA,NA,NA,NA,"60730"
"F-J",-1.54,NA,NA,"60731"
"x",-3.81,NA,12,"60753"
"x",-3.81,NA,4,"60754"
NA,NA,NA,NA,"60734"
"N",-1.77,NA,5,"60735"
"N",-1.77,NA,NA,"60736"
"N",-1.77,NA,2,"60737"
"x",-3.81,NA,5,"60755"
