"Act","Obj","VU","n","Typ","Size","Wgt","Wall","Fabric","Color","Decor","Morph","Drawing","Note"
21,NA,NA,5,NA,30,4.4,NA,"fine/white",NA,NA,NA,NA,NA
23,NA,NA,NA,NA,30,1.7,5,"fine/white","white/black","horiz Rille",NA,NA,NA
23,NA,NA,NA,"RS",30,1.5,8,"fine/white","white/grey",NA,"ausbiegender Rand, gerade abgestrichene Mdg",NA,NA
23,NA,NA,NA,NA,30,2.7,7,"slag","brown/black",NA,"leicht konkaver Rand, gerade Mdg",NA,NA
23,NA,NA,NA,NA,30,8.1,12,"coarse/red","beige/red/black",NA,NA,NA,NA
23,NA,NA,14,NA,30,28.7,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,"RS",30,2.3,5,"fine","schwarz/beige","horiz Rille unterm Randabschluss","leicht konkaver Rand, spitze/gerade Mdg",NA,NA
24,NA,NA,NA,"Lid?",70,8.1,7,"slag","brown",NA,NA,NA,NA
24,NA,NA,NA,"RS",70,4.4,6,"slag","red/beige","horiz Rillen","kurzer dreieckig verdickter Rand; gerade abgestrichene Mdg",NA,NA
24,NA,NA,NA,NA,30,3.6,6,"slag","beige/red",NA,NA,NA,NA
24,NA,NA,NA,NA,30,1.8,5,"fine/white","white",NA,NA,NA,NA
24,NA,NA,NA,NA,30,1.6,6,"fine/white","white/grey",NA,NA,NA,NA
24,NA,NA,13,NA,30,12,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,"RS",30,4.4,7,"grog","beige",NA,"leicht konkaver Rand, gerade Mdg",NA,"grog?"
25,NA,NA,NA,NA,70,23,12,"grog","white/grey",NA,NA,NA,NA
25,NA,NA,NA,NA,70,8.2,9.5,"fine/white","white/grey",NA,NA,NA,NA
25,NA,NA,2,NA,70,18.7,10,"slag","beige/red/grey","diagonaler Kammeindruck; in breiten Bündeln zu Winkeln/Zick-Zack","gerade Schulter","x",NA
25,NA,NA,NA,NA,70,26.4,14,"coarse/white","beige/grey",NA,NA,NA,"org. Anhaftungen Innen!!!"
25,NA,NA,NA,NA,70,7.2,5,"coarse/red","red/beige/black",NA,NA,NA,NA
25,NA,NA,NA,NA,70,9.5,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,8,NA,30,6.9,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,30,4.2,6,"grog","grey/beige",NA,NA,NA,NA
26,NA,NA,NA,NA,70,10,6,"slag","brown/red","Rille",NA,NA,NA
26,NA,NA,NA,NA,70,9.2,9,"slag","brown/black/beige",NA,NA,NA,NA
26,NA,NA,NA,NA,30,2.4,6.5,"fine/white","white/grey",NA,NA,NA,NA
26,NA,NA,NA,NA,30,2.6,7,"fine/red","beige/rot","diagonaler Kammeindruck",NA,NA,NA
26,NA,NA,NA,NA,30,1.5,7,"fine/red","red","Rille",NA,NA,NA
26,NA,NA,NA,"RS",70,6.7,8,"laterite","beige/red",NA,"ausbiegender Rand, gerade Mdg",NA,"laterite?"
26,NA,NA,2,NA,70,8.9,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,9,NA,30,11.5,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,30,3.4,6,"slag","beige/grey",NA,"Fragm Zylinderhals?",NA,NA
27,NA,NA,NA,NA,70,4.2,7,"slag","beige/red/grey",NA,"feine Rillen",NA,NA
27,NA,NA,NA,NA,30,1.9,6,"fine/red","red/grey",NA,NA,NA,NA
27,NA,NA,NA,NA,30,2.5,NA,"fine/white","beige/brown/black",NA,"ausbiegender Rand, gerade Mdg",NA,NA
27,NA,NA,NA,NA,70,6.5,8,"coarse/white","white/grey","Rille",NA,NA,NA
27,NA,NA,12,NA,30,17.3,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,4,NA,10,0.6,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,NA,NA,30,4.6,8,"fine/red","rot/beige","mit Rillen gefüllte Raute","gerade/leicht konvexe Schulter","x",NA
28,NA,NA,NA,NA,30,3.7,8,"fine/red","red/brown",NA,"konkaver Rand, gerade Mdg",NA,NA
28,NA,NA,NA,NA,70,6.1,7,"fine/red","red/beige/black",NA,NA,NA,NA
28,NA,NA,NA,NA,70,7.4,8,"coarse/red","red/beige",NA,"ausbiegender Rand od. gerade Schulter(?)",NA,NA
28,NA,NA,NA,NA,30,2.1,5,"coarse/red","red/grey","Kammstrich",NA,NA,NA
28,NA,NA,2,NA,70,25.5,NA,NA,NA,NA,NA,NA,NA
28,NA,NA,5,NA,30,5.5,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,30,4.6,9,"slag","red",NA,"ausbiegender Rand, gerade Mdg",NA,NA
29,NA,NA,NA,NA,70,9.8,NA,"slag","red",NA,NA,NA,NA
29,NA,NA,8,NA,30,9,NA,NA,NA,NA,NA,NA,NA
29,NA,NA,NA,NA,30,2.3,7,"fine/white","white/grey","Rille & feines Ritz-Überkreuz-Band",NA,NA,"außen org. Anhaftungen?"
29,NA,NA,NA,NA,70,42.1,9,"slag","brown/red","horiz Rille; diag Ritzung & horiz feiner Kammstrich","konvexer Bauch",NA,NA
30,NA,NA,2,NA,70,6.1,8,"slag","beige",NA,NA,NA,NA
30,"2",NA,NA,NA,30,3.9,6,"slag","beige/grey",NA,"ausbiegender Rand, leicht konvexe Schulter; kein Hals",NA,NA
30,NA,NA,NA,NA,30,2.9,5.5,"fine/white","white/grey",NA,NA,NA,NA
30,NA,NA,NA,NA,70,6,8,"fine/white","white/grey",NA,NA,NA,NA
30,NA,NA,2,NA,30,5.1,7,"fine/white","white/grey",NA,NA,NA,NA
30,NA,NA,NA,NA,30,7.3,11,"slag","beige/grey","3 rillen",NA,NA,NA
30,NA,NA,NA,NA,70,6,NA,NA,NA,NA,NA,NA,NA
30,NA,NA,11,NA,30,12.1,NA,NA,NA,NA,NA,NA,NA
