"InvNo","Trench","Quadrant","N","Z..m.","Depth..cm.","Typ","Fabric","FabricOrig","Color","Drawing","Form","Dekor","Notes"
"62047","II","D",9,NA,46,"WS","coarse/white","4er",NA,NA,NA,NA,NA
"62047","II","D",NA,NA,46,"WS","coarse/white","4er",NA,NA,NA,"girlandenartige Rillen",NA
"62047","II","D",NA,NA,46,"WS","grog","grog","beige",NA,NA,"überkreuzte Riefen",NA
"62047","II","D",NA,NA,46,"BS","coarse/white","4er",NA,NA,"runder boden",NA,NA
"62047","II","D",NA,NA,46,"WS","coarse/white","4er",NA,NA,NA,NA,"außen deutlich mehr Magerung zu sehen"
"62047","II","D",NA,NA,46,"WS","grog","grog","grey/white",NA,NA,NA,"Schulter; stark erodiertes Dekor"
"62047","II","D",NA,NA,46,"WS","coarse/white","4er",NA,NA,"gerade Schulter; Ansatz ausbiegender Rand & Bauchknick",NA,NA
"62047","II","D",NA,NA,46,"WS","coarse/white","4er",NA,"x",NA,"x","Dekor"
"62047","II","D",NA,NA,46,"RS","coarse/white","4er",NA,NA,"ausbiegender Rand, spitze Mündung, geschweifter Hals",NA,NA
"62047","II","D",NA,NA,46,"WS","lithic","Lithik",NA,NA,NA,NA,"Magerung u.a. mit Lithik Rohmaterial"
"62045","II","C",NA,NA,40,"WS","grog","grog",NA,NA,NA,"x","Dekor"
"62045","II","C",NA,NA,40,"WS","coarse/white","4er",NA,NA,NA,"x","Dekor"
"62045","II","C",NA,NA,40,"RS","grog+slag","grog/slag","brown/grey",NA,"Zylinderhals, sehr kurz ausbiegender Rand, leichter Schulterabsatz",NA,NA
"62046","II","D",NA,NA,25,"WS","coarse/red","5b","red/grey",NA,NA,"rillen & rautenförmige Kammeindrücke",NA
"62046","II","D",NA,NA,25,"WS","slag","slag","black/grey",NA,NA,NA,NA
"62046","II","D",NA,NA,25,"WS","slag","slag","beige/brown/black",NA,NA,NA,NA
"62046","II","D",NA,NA,25,"WS","lithic","Lithik","beige/grey",NA,NA,NA,"Magerung u.a. mit Lithik Rohmaterial"
"62046","II","D",17,NA,25,"WS",NA,"var",NA,NA,NA,NA,NA
"62056","II","G",NA,NA,56,"Deckel","coarse/white","4d","beige","x",NA,NA,NA
"62055","II","G",4,NA,33,"WS","slag","slag",NA,NA,NA,NA,NA
"62055","II","G",2,NA,33,"WS","slag","slag",NA,NA,NA,"x","Dekor"
"62055","II","G",NA,NA,33,"WS","grog","grog",NA,NA,NA,"x","Dekor"
"62055","II","G",NA,NA,33,"RS","coarse/white","4b",NA,NA,"gerade abgestrichener Rand",NA,NA
"62055","II","G",9,NA,33,"WS",NA,"var",NA,NA,NA,NA,NA
"62055","II","G",NA,NA,33,"Deckel","coarse/white","4er",NA,NA,NA,"zentrale 'Knubbe' mit zwei Vertiefungen",NA
"62055","II","G",NA,NA,33,"RS","coarse/white","4d","beige/white",NA,NA,NA,NA
"62054","II","G",NA,NA,50,"WS","slag","slag",NA,NA,NA,NA,"sichtbare verfärbung durch 'korrosion' von Eisenhaltigen Partikeln"
"62053","II","G",NA,NA,20,"RS","coarse/white","4er","brown/grey",NA,"konvexer, aufbiegender Rand",NA,NA
"62053","II","G",NA,NA,20,"RS","coarse/white","4er","beige/grey",NA,NA,NA,NA
"62053","II","G",NA,NA,20,"WS","coarse/white","4er",NA,NA,NA,NA,NA
"62052","II","F",2,NA,49,"WS","slag","slag","beige/grey",NA,NA,NA,NA
"62052","II","F",NA,NA,49,"RS","coarse/white","4a","black",NA,"gerade ausbiegender Rand",NA,NA
"62052","II","F",7,NA,49,"WS","coarse/white","4er/var",NA,NA,NA,NA,NA
"62052","II","F",NA,NA,49,"WS","fine/red","3b","red/grey",NA,NA,NA,NA
"62052","II","F",NA,NA,49,"RS","fine/red","3b","red/grey",NA,"kurzer, ausbiegender Rand mit gerader Mdgabschluss",NA,NA
"62052","II","F",NA,NA,49,"WS","lithic","Lithik",NA,NA,NA,NA,NA
"62050","II","E",NA,NA,37,"WS","coarse/white","4b",NA,"x",NA,NA,NA
"62051","II","F",18,NA,49,"WS","coarse/white","4er",NA,NA,NA,NA,NA
"62051","II","F",NA,NA,49,"WS","fine","3b",NA,NA,NA,NA,NA
"62051","II","F",8,NA,49,"WS","slag","slag",NA,NA,NA,NA,NA
"62051","II","F",NA,NA,49,"Deckel","slag","slag","beige",NA,NA,NA,"auf Außenseite abgeplatze Oberfl."
"62051","II","F",NA,NA,49,"RS","coarse/white","4b","beige/grey",NA,"ausbiegender Rand(?), schräg nach außen abgestrichene Mdg",NA,NA
"62051","II","F",NA,NA,49,"WS","coarse/white","4b","beige/black",NA,NA,"x","Dekor"
"62051","II","F",NA,NA,49,"RS","coarse/white","4b",NA,NA,"ausbiegen, gerade abgestichene Mdg",NA,NA
"62051","II","F",NA,NA,49,"WS","coarse/white","4a","black",NA,NA,"horiz. & girlandenart Rillen",NA
"62051","II","F",NA,NA,49,"RS","coarse/white","4a","grey",NA,"leicht ausbiegender Rand, konkaver Hals, konvexe Schulter","girlanden & horiz Rillen auf Schulter",NA
"62051","II","F",NA,NA,49,"RS","coarse/white","4c",NA,"x","kurzer ausbiegender Rand, zylinder-kegel-Hals","überkreuzte Rillen auf Hals",NA
"62051","II","F",NA,NA,49,"RS","coarse/red","5c",NA,"x",NA,NA,NA
"62051","II","F",NA,NA,49,"RS","grog","grog?",NA,"x",NA,NA,NA
"62056","II","G",NA,NA,56,"WS","coarse/white","4c",NA,NA,NA,NA,NA
"62092","II","C-D",NA,NA,65,"Deckel(?)","laterite","7d",NA,NA,NA,NA,NA
"62092","II","C-D",24,NA,65,"WS",NA,"var",NA,NA,NA,NA,NA
NA,"II","M",NA,NA,50,"WS","fine/white","3a","beige/black",NA,NA,"x","Dekor"
"62084",NA,NA,NA,"-0.7",NA,"WS","coarse/white","4b",NA,NA,NA,"horiz Rille",NA
"62085","II","F",NA,NA,130,"WS","coarse/white","4a",NA,NA,NA,NA,NA
"62086","II","F",NA,NA,140,"RS","fine/white","1b/7d(?)","beige/grey",NA,"kurzer ausbiegender Rand","diagonaler Kammeindruck auf Schulter",NA
"62088","II","I",NA,NA,NA,"RS","coarse/white","4c",NA,NA,"gerade Rand","feine horiz. Rillen und gr. Eindrücke unterm Rand",NA
"62075","II","N",2,NA,20,"WS","coarse/white","4er",NA,NA,NA,NA,NA
"62074-75","II","M-N",NA,"-0,2--0,5",35,"RS","coarse/white","4a",NA,NA,"leicht konkav ausbiegender Rand mit geradem Mdg Abschluss",NA,"gut polierte Obfl"
"62075","II","M",NA,NA,50,"WS","coarse/red","5b(?)","brown/grey",NA,NA,NA,NA
"62060","II","J",NA,NA,35,"RS","coarse/white","4c","beige/grey",NA,"ausbiegender Rand, kein Hals",NA,NA
"62069 + 62098","II","M",2,NA,50,"RS","grog","grog","beige/grey","x","ausbiegender Rand, kein Hals, keine direkte Anpassung",NA,NA
"62094","II","D-E",NA,NA,30,"WS","slag","slag",NA,NA,NA,"feine Rillen",NA
"62098","II","D-E",NA,NA,28.5,"RS","coarse/white","4er",NA,NA,"ausbiegender Rand",NA,NA
"62070","II","M",3,NA,50,"RS","slag","slag","red",NA,"ausbiegender Rand","Rillen außen auf dem Rand",NA
"62070","II","M",NA,NA,50,"WS","coarse/white","4c","beige/grey",NA,"gerade Schulter","horiz & diag Rillen",NA
"62076","II","N",NA,NA,40,"WS","coarse/white","4a",NA,NA,NA,"Rillen Innen?",NA
"62076","II","N",NA,NA,40,"WS","coarse/white","4a",NA,NA,NA,"horiz. & diag. Rillen",NA
"62078","II","N",NA,NA,40,"WS","slag","slag",NA,NA,NA,NA,NA
"62091","II","C-D",NA,NA,36,"RS","grog","grog","white","x",NA,NA,NA
"62091","II","C-D",NA,NA,36,"WS","coarse/white","4b",NA,NA,NA,"horiz. & girlandenart. Rillen",NA
"62091","II","C-D",5,NA,36,"WS","coarse/white","4er",NA,NA,NA,NA,NA
"62092","II","C-D",4,NA,65,"WS","coarse/white","4er",NA,NA,NA,NA,NA
"62096","II","D-E",NA,NA,30,"WS","coarse/white","4b",NA,NA,NA,"Rillen & Eindrücke",NA
"62092","II","C-D",NA,NA,65,"WS","coarse/white","4c","beige",NA,NA,"horiz. & diag. Rillen & Eindrücke(Kamm?)",NA
"62092","II","C-D",NA,NA,65,"RS","coarse/white","4a","grau",NA,"ausbiegender, leicht konvexer Rand mit gerader Mdg",NA,NA
"62093","II","D-E",NA,NA,30,"RS","coarse/red","5b",NA,NA,"ausbiegender, leicht konvexer Rand mit gerader Mdg",NA,NA
"62099","II","D-E",NA,NA,NA,"WS","coarse/white","4a",NA,NA,NA,"horiz. & winkelige Rillenbündel",NA
"62098","II","D-E",2,"-0,25/-0,32",28.5,"WS","grog","grog",NA,NA,NA,NA,NA
"62098","II","D-E",NA,"-0,25/-0,32",28.5,"RS","laterite","7er",NA,NA,"ausbiegender Rand, gerade Mdg",NA,NA
"62098","II","D-E",7,"-0,25/-0,32",28.5,NA,NA,"var",NA,NA,NA,NA,NA
"62098","II","D-E",2,"-0,25/-0,32",28.5,"WS","laterite","7d",NA,NA,NA,"horiz. & diag. Rillen & Kammeindruck",NA
"62080","II","N",NA,NA,72,"BS","coarse/white","4c",NA,NA,"flacher Boden?",NA,NA
"62080","II","N",2,NA,72,"WS","slag","slag",NA,NA,NA,NA,NA
"62080","II","N",3,NA,72,"RS","coarse/white","4b",NA,NA,"ausbiegender, leicht konkav Rand mit gerader Mdg","diag rillen außen auf Rand",NA
"62080","II","N",NA,NA,72,"WS","grog","grog",NA,NA,NA,NA,NA
"62080","II","N",5,NA,72,NA,NA,"var",NA,NA,NA,NA,NA
"62079","II","N",NA,NA,72,"WS","grog","grog","white/grey",NA,"konkav Hals","breite, horiz Rillen",NA
"62095","II","D-E",NA,NA,30,"WS","coarse/white","4c",NA,"x","konvexe Schulter","Kammeindruck & pseudo-Kauri","zu 62050!!"
"62072","II","M",NA,NA,50,"WS","coarse/white","4b",NA,NA,NA,"horiz Rillenbündel",NA
"62072","II","M",5,NA,50,"WS","coarse/white","4b",NA,"x",NA,NA,NA
"62071","II","M",NA,NA,50,"WS","coarse/white","4c",NA,NA,NA,"horiz. Rillen & bogenförmig. Kammstrich/Rillenbündel",NA
"62071","II","M",2,NA,50,"WS","coarse/white","4b",NA,NA,NA,"Kammstrich",NA
"62073","II","M",NA,NA,50,"WS","coarse/white","4a",NA,NA,NA,"rautenförm Rillen & diag. Kammeindruck",NA
"62073","II","M",NA,NA,50,"WS","coarse/white","4b",NA,NA,NA,"Rillen",NA
"62066","II","L",NA,NA,43,"WS","coarse/white","4c(?)",NA,NA,NA,NA,NA
"62066","II","L",5,NA,43,"WS",NA,"var",NA,NA,NA,NA,NA
"62066","II","L",NA,NA,43,"RS","coarse/white","4a",NA,NA,"konkav ausbiegender Rand, runde Mdg","horiz Rillen auf Hals",NA
"62066","II","L",NA,NA,43,"WS","coarse/white","4a",NA,NA,"konkaver Hals","Rillen und Eindruck",NA
"62066","II","L",NA,NA,43,"WS","grog","8er/grog",NA,NA,NA,NA,NA
"62063","II","J",NA,NA,119,"RS","coarse/white","4b",NA,NA,"leicht ausbiegender Rand","gerade Mdg, riefen auf Hals",NA
"62065","II","I",NA,NA,75,"WS","slag+laterite","7e + slag",NA,NA,NA,NA,NA
"62065","II","I",2,NA,75,"WS","coarse/white","4a",NA,NA,"kovexer Bauch","Riefen auf Bauch",NA
"62065","II","I",3,NA,75,"WS",NA,"var",NA,NA,NA,NA,NA
"62067","II","M",NA,NA,50,"Deckel","grog","grog","brown/grey","x",NA,NA,NA
"62076","II","N",NA,NA,70,"WS","coarse/white","4a",NA,NA,NA,"tiefe Riefen auf Schulter",NA
"62076","II","M",32,NA,50,"WS",NA,"var",NA,NA,NA,NA,NA
"62076","II","M",2,NA,50,"WS","coarse/white","4er",NA,NA,NA,"Kammeindruck",NA
"62076","II","M",3,NA,50,"RS",NA,NA,NA,NA,"ausbiegender Rand",NA,NA
"62058","II","I",4,NA,48,"WS",NA,"var",NA,NA,NA,NA,NA
"62058","II","I",NA,NA,48,"RS","laterite","7a",NA,NA,"ausbiegender Rand, gerade Mdg",NA,NA
"62058","II","I",NA,NA,48,"WS","coarse/red","5er",NA,NA,NA,"horiz & diag Kammstrich",NA
"62077","II","N",6,NA,20,"G",NA,NA,NA,"x",NA,NA,"Porzellan"
"62059","II","I",3,NA,50,"WS","laterite","7c","beige",NA,"geschweifter Bauch, gerade Schulter","horiz. Rillen & feiner diag. Kammeindruck auf der Schulter",NA
"62059","II","I",NA,NA,50,"WS","coarse/white","4c",NA,NA,NA,NA,NA
"62061","II","J",7,NA,66,"WS",NA,"var",NA,NA,NA,NA,NA
"62061","II","J",3,NA,66,"WS","coarse/white","4d",NA,NA,NA,"horiz & diag Riefen",NA
"62061","II","J",NA,NA,66,"WS","slag","slag",NA,NA,NA,"feiner Kammstrich",NA
"62061","II","J",NA,NA,66,"WS","coarse/white","4c",NA,NA,"zylinderHals & konvexe Schulter",NA,NA
"62061","II","J",3,NA,66,"RS",NA,NA,NA,NA,NA,NA,NA
"62061","II","J",NA,NA,66,"WS","slag","5a & slag",NA,NA,NA,"horiz. Rille & bogenförm Riefen",NA
"62061","II","J",NA,NA,66,"WS","coarse/white","4a",NA,NA,NA,NA,NA
"62061","II","J",NA,NA,66,"WS","lithic","Lithik",NA,NA,NA,NA,NA
"62064","II","J",7,NA,66,"WS",NA,"var",NA,NA,NA,NA,NA
"62064","II","J",6,NA,66,"WS","lithic","Lithik",NA,NA,NA,NA,NA
"62064","II","J",NA,NA,66,"WS","slag","slag",NA,NA,NA,NA,NA
"62064","II","J",2,NA,66,"WS","grog","grog",NA,NA,NA,NA,NA
"62064","II","J",2,NA,66,"WS","laterite","7er(?)",NA,NA,NA,"breite Riefen",NA
"62064","II","J",NA,NA,66,"WS","grog","grog",NA,NA,NA,NA,"Fingereindruck, evtl. Teil von Deckel"
"62057","II","H",NA,NA,60,"WS","coarse/white","4c",NA,NA,NA,NA,NA
"62057","II","H",NA,NA,60,"WS","slag","slag",NA,NA,NA,NA,NA
"62057","II","H",6,NA,60,"WS",NA,"var",NA,NA,NA,NA,NA
"62057","II","H",NA,NA,60,"WS","coarse/white","4a",NA,NA,NA,NA,NA
"62057","II","H",NA,NA,60,"WS","coarse/white","4a",NA,NA,NA,"horiz Rillen",NA
"62062","II","J",5,NA,64,"WS",NA,"var",NA,NA,NA,NA,NA
"62062","II","J",NA,NA,64,"WS","lithic","Lithik",NA,NA,NA,NA,NA
"62062","II","J",4,NA,64,"WS","slag","slag",NA,NA,NA,NA,NA
"62062","II","J",NA,NA,64,"RS","coarse/red","5er",NA,NA,"leicht ausbeigender Rand mit gerader Mdg","horz Rille außen",NA
"62062","II","J",NA,NA,64,"RS","coarse/white","4a",NA,NA,"leicht konvexer Rand",NA,"polierte Obfl"
"62062","II","J",NA,NA,64,"WS","coarse/white","4d",NA,NA,NA,"horiz. & bogenförm Riefen",NA
"62062","II","J",NA,NA,64,"WS","coarse/white","4b",NA,NA,"Zylinderhals(?) & konvexe Schulter",NA,NA
"62060","II","J",2,NA,35,"WS","lithic","Lithik",NA,NA,NA,NA,NA
"62060","II","J",8,NA,35,"WS",NA,"var",NA,NA,NA,NA,NA
"62060","II","J",NA,NA,35,"WS","lithic","Lithik",NA,NA,NA,"horiz & bogenförm Rillen",NA
"62060","II","J",NA,NA,35,"WS","coarse/white","4b",NA,NA,NA,"horiz Riefen",NA
"62060","II","J",NA,NA,35,"WS","coarse/white","4a",NA,NA,"konvexe Schulter","horiz & bogenförm. Riefen",NA
"62060","II","J",NA,NA,35,"WS","coarse/white","4a",NA,NA,NA,"horiz Rille & dreieckiger Eindruck",NA
"62060","II","J",NA,NA,35,"WS","lithic","Lithik",NA,NA,NA,"bogenförm. Rillen",NA
"62060","II","J",NA,NA,35,"RS","coarse/white","4b",NA,NA,"konkaver Rand, gerade Mdg",NA,NA
"62060","II","J",NA,NA,35,"WS","coarse/white","4b",NA,NA,NA,"horiz & winkelige Rillen",NA
"62109","II","I-E",NA,NA,39,"RS","laterite","7b(?)",NA,NA,"ausbiegender Rand, gerade Mdg",NA,NA
"62108","II","I-E",NA,NA,39,"WS","coarse/white","4c",NA,NA,NA,"horiz Eindruckreihe & Kammstrich",NA
"62107","II","H-I",NA,NA,130,"WS","coarse/white","4a",NA,NA,NA,NA,NA
"62105","II","H-I",NA,NA,87,"WS","coarse/white","4c",NA,NA,NA,NA,NA
"62102","II","E-F",6,NA,20,"WS",NA,"var",NA,NA,NA,NA,NA
"62102","II","E-F",NA,NA,20,"RS","fine","3a",NA,"x",NA,NA,NA
"62045","II","C",NA,NA,40,"WS","coarse/white","4a",NA,NA,NA,NA,NA
"62101","II","E-F",3,NA,20,"WS","coarse/white","4c",NA,NA,NA,NA,NA
"62104","II","H-I",8,NA,30,"WS",NA,"var",NA,NA,NA,NA,NA
"62100","II","E-F",8,NA,41,"WS",NA,"var",NA,NA,NA,NA,NA
"62100","II","E-F",NA,NA,41,"WS","grog","grog",NA,NA,NA,NA,NA
"62100","II","E-F",NA,NA,41,"WS","coarse/white","4d",NA,NA,NA,"Rauten-Kammeindruck & gr. Dreieckige Eindrücke",NA
"62103","II","E-F",8,NA,43,"WS",NA,"var",NA,NA,NA,NA,NA
"62103","II","E-F",NA,NA,43,"WS","grog","8?",NA,NA,NA,NA,NA
