"ID.Museum.Ind","X.depth.","depth","length"
"62389-256","","","2-4"
"62389-257","","","2-4"
"62389-258","","","2-4"
"62389-259","","","2-4"
"62389-260","","","2-4"
"62389-261","","","2-4"
"62389-262","","","2-4"
"62389-263","","","2-4"
"62389-264","","","2-4"
"62389-265","","","2-4"
"62389-266","","","2-4"
"62389-267","","","2-4"
"62389-268","","","2-4"
"62389-269","","","2-4"
"62389-270","","","2-4"
"62389-271","","","2-4"
"62389-272","","","2-4"
"62389-273","","","2-4"
"62389-274","","","2-4"
"62389-275","","","2-4"
"62389-276","","","2-4"
"62389-277","","","2-4"
"62389-278","","","2-4"
"62389-279","","","2-4"
"62389-280","","","2-4"
"62389-281","","","2-4"
"62389-282","","","2-4"
"62389-283","","","2-4"
"62389-284","","","2-4"
"62389-285","","","0-2"
"62389-286","","","0-2"
"62389-287","","","0-2"
"62389-288","","","0-2"
"62389-289","","","0-2"
"62389-290","","","0-2"
"62389-291","","","0-2"
"62389-292","","","0-2"
"62389-293","","","0-2"
"62389-294","","","0-2"
"62389-295","","","0-2"
"62389-296","","","0-2"
"62389-297","","","0-2"
"62389-298","","","0-2"
"62389-299","","","0-2"
"62389-300","","","0-2"
"62389-301","","","0-2"
"62389-302","","","0-2"
"62389-303","","","0-2"
"62389-304","","","0-2"
"62389-305","","","0-2"
"62389-306","","","0-2"
"62389-307","","","0-2"
"62389-308","","","0-2"
"62389-309","","","0-2"
"62384-1","-3,65","","2-4"
"62384-2","","","2-4"
"62384-3","","","2-4"
"62384-4","","","2-4"
"62384-5","","","2-4"
"62384-6","","","2-4"
"62384-7","","","2-4"
"62384-8","","","2-4"
"62384-9","","","2-4"
"62384-10","","","2-4"
"62384-11","","","2-4"
"62384-12","","","2-4"
"62384-13","","","0-2"
"62384-14","","","0-2"
"62384-15","","","0-2"
"62384-16","","","0-2"
"62384-17","","","0-2"
"62384-18","","","0-2"
"62384-19","","","0-2"
"62384-20","","","0-2"
"62384-21","","","0-2"
"62384-22","","","0-2"
"62384-23","","","0-2"
"62384-24","","","0-2"
"62384-25","","","0-2"
"62384-26","","","0-2"
"62384-27","","","0-2"
"62384-28","","","0-2"
"62384-29","","","0-2"
"62384-30","","","0-2"
"62392-1","-3,83","","2-4"
"62392-2","-3,83","","2-4"
"62392-3","-3,83","","2-4"
"62392-4","","","2-4"
"62392-5","","","2-4"
"62392-6","","","2-4"
"62392-7","","","2-4"
"62392-8","","","2-4"
"62392-9","","","2-4"
"62392-10","","","2-4"
"62392-11","","","2-4"
"62392-12","","","2-4"
"62392-13","","","0-2"
"62392-14","","","0-2"
"62392-15","","","0-2"
"62392-16","","","0-2"
"62392-17","","","0-2"
"62392-18","","","0-2"
"62392-19","","","0-2"
"62392-20","","","0-2"
"62392-21","","","0-2"
"62392-22","","","0-2"
"62392-23","","","0-2"
"60750-1","-3,60","","2-4"
"60750-2","-3,60","","2-4"
"60750-3","-3,60","","2-4"
"60750-4","","","2-4"
"60750-5","","","2-4"
"60750-6","","","2-4"
"60750-7","","","2-4"
"60750-8","","","2-4"
"60750-9","","","2-4"
"60750-10","","","2-4"
"60750-35","","","0-2"
"60750-34","","","0-2"
"60750-33","","","0-2"
"60750-32","","","0-2"
"60750-31","","","0-2"
"60750-30","","","0-2"
"60750-11","","","0-2"
"60750-12","","","0-2"
"60750-13","","","0-2"
"60750-14","","","0-2"
"60750-15","","","0-2"
"60750-16","","","0-2"
"60750-17","","","0-2"
"60750-18","","","0-2"
"60750-19","","","0-2"
"60750-20","","","0-2"
"60750-21","","","0-2"
"60750-22","","","0-2"
"60750-23","","","0-2"
"60750-24","","","0-2"
"60750-25","","","0-2"
"60750-26","","","0-2"
"60750-27","","","0-2"
"60750-28","","","0-2"
"60750-29","","","0-2"
"62387-1","-3,77","","4-8"
"62387-2","-3,77","","4-8"
"62387-3","-3,77","","2-4"
"62387-4","-3,77","","2-4"
"62387-5","-3,77","","2-4"
"62387-6","","","2-4"
"62387-7","","","2-4"
"62387-8","","","2-4"
"62387-9","","","2-4"
"62387-10","","","2-4"
"62387-11","","","2-4"
"62389-95","","","2-4"
"62387-13","","","2-4"
"62387-14","","","2-4"
"62387-15","","","2-4"
"62387-16","","","2-4"
"62387-17","","","2-4"
"62387-18","","","2-4"
"62387-19","","","2-4"
"62387-20","","","2-4"
"62387-21","","","2-4"
"62387-22","","","2-4"
"62387-23","","","2-4"
"62387-24","","","2-4"
"62394-16","","","2-4"
"62387-26","","","2-4"
"62387-27","","","2-4"
"62387-28","","","2-4"
"62387-29","","","0-2"
"62387-30","","","0-2"
"62395-4","","","3,3"
"62387-32","","","0-2"
"62387-33","","","0-2"
"62387-34","","","0-2"
"62387-35","","","0-2"
"62387-36","","","0-2"
"62387-37","","","0-2"
"62387-38","","","0-2"
"62387-39","","","0-2"
"62387-40","","","0-2"
"62387-41","","","0-2"
"62387-42","","","0-2"
"62387-43","","","0-2"
"62387-44","","","0-2"
"62387-45","","","0-2"
"62387-46","","","0-2"
"62387-47","","","0-2"
"62387-48","","","0-2"
"62387-49","","","0-2"
"62387-50","","","0-2"
"62387-51","","","0-2"
"62387-52","","","0-2"
"62387-53","","","0-2"
"62387-54","","","0-2"
"62397-1","","","4-8"
"62397-2","-3,87","","2-4"
"62397-3","-3,87","","2-4"
"62397-31","","","2-4"
"62397-5","","","2-4"
"62397-4","-3,87","","2-4"
"62397-7","","","2-4"
"62397-8","","","2-4"
"62397-9","","","2-4"
"62397-10","","","2-4"
"62397-11","","","2-4"
"62397-12","","","2-4"
"62397-13","","","2-4"
"62397-14","","","2-4"
"62397-15","","","2-4"
"62397-16","","","2-4"
"62397-17","","","2-4"
"62397-18","","","2-4"
"62397-19","","","2-4"
"62397-20","","","2-4"
"62397-21","","","2-4"
"62397-22","","","2-4"
"62397-23","","","2-4"
"62397-24","","","2-4"
"62397-25","","","2-4"
"62397-26","","","2-4"
"62397-27","","","2-4"
"62397-28","","","2-4"
"62397-29","","","2-4"
"62397-30","","","2-4"
"62397-6","","","2-4"
"62397-32","","","2-4"
"62397-33","","","2-4"
"62397-34","","","2-4"
"62397-35","","","2-4"
"62397-36","","","2-4"
"62397-37","","","2-4"
"62397-38","","","2-4"
"62397-39","","","2-4"
"62397-40","","","2-4"
"62397-41","","","2-4"
"62397-42","","","2-4"
"62397-43","","","0-2"
"62397-44","","","0-2"
"62397-45","","","0-2"
"62397-46","","","0-2"
"62397-47","","","0-2"
"62397-48","","","0-2"
"62397-49","","","0-2"
"62397-50","","","0-2"
"62397-51","","","0-2"
"62397-52","","","0-2"
"62397-53","","","0-2"
"62397-54","","","0-2"
"62397-55","","","0-2"
"62397-56","","","0-2"
"62397-57","","","0-2"
"62397-58","","","0-2"
"62397-59","","","0-2"
"62397-60","","","0-2"
"62397-61","","","0-2"
"62397-62","","","0-2"
"62397-63","","","0-2"
"62397-64","","","0-2"
"62397-65","","","0-2"
"62397-66","","","0-2"
"62397-67","","","0-2"
"62397-68","","","0-2"
"62397-69","","","0-2"
"62397-70","","","0-2"
"62397-71","","","0-2"
"62397-72","","","0-2"
"62397-73","","","0-2"
"62397-74","","","0-2"
"62397-75","","","0-2"
"62397-76","","","0-2"
"62397-77","","","0-2"
"62397-78","","","0-2"
"62397-79","","","0-2"
"62397-80","","","0-2"
"62397-81","","","0-2"
"62397-82","","","0-2"
"62397-83","","","0-2"
"62397-84","","","0-2"
"62397-85","","","0-2"
"62397-86","","","0-2"
"62397-87","","","0-2"
"62397-88","","","0-2"
"62397-89","","","0-2"
"62397-90","","","0-2"
"62397-91","","","0-2"
"62397-92","","","0-2"
"62397-93","","","0-2"
"62397-94","","","0-2"
"62397-95","","","0-2"
"62397-96","","","0-2"
"62397-97","","","0-2"
"62397-98","","","0-2"
"62397-99","","","0-2"
"62397-100","","","0-2"
"62397-101","","","0-2"
"62397-102","","","0-2"
"62397-103","","","0-2"
"62397-104","","","0-2"
"62397-105","","","0-2"
"62397-106","","","0-2"
"62401-1","","","4-8"
"62401-2","","","4-8"
"62401-3","","","4-8"
"62401-4","","","4-8"
"62401-5","-3,94","","2-4"
"62401-6","","","2-4"
"62401-7","","","2-4"
"62401-8","","","2-4"
"62401-9","","","2-4"
"62401-10","","","2-4"
"62401-11","","","2-4"
"62401-12","","","2-4"
"62401-13","","","2-4"
"62401-14","","","2-4"
"62401-15","","","2-4"
"62401-16","","","2-4"
"62401-17","","","2-4"
"62401-18","","","2-4"
"62401-19","","","2-4"
"62401-20","","","2-4"
"62401-21","","","2-4"
"62401-22","","","2-4"
"62401-23","","","2-4"
"62401-24","","","2-4"
"62401-25","","","2-4"
"62401-26","","","2-4"
"62401-27","","","2-4"
"62401-28","","","2-4"
"62401-29","","","2-4"
"62401-30","","","2-4"
"62401-31","","","2-4"
"62401-32","","","2-4"
"62401-33","","","0-2"
"62401-34","","","0-2"
"62401-35","","","0-2"
"62401-36","","","0-2"
"62401-37","","","0-2"
"62401-38","","","0-2"
"62401-39","","","0-2"
"62401-40","","","0-2"
"62401-41","","","0-2"
"62401-42","","","0-2"
"62401-43","","","0-2"
"62401-44","","","0-2"
"62401-45","","","0-2"
"62401-46","","","0-2"
"62401-47","","","0-2"
"62401-48","","","0-2"
"62401-49","","","0-2"
"62401-50","","","0-2"
"62401-51","","","0-2"
"62401-52","","","0-2"
"62401-53","","","0-2"
"62401-54","","","0-2"
"62401-55","","","0-2"
"62401-56","","","0-2"
"62401-57","","","0-2"
"62401-58","","","0-2"
"62401-59","","","0-2"
"62401-60","","","0-2"
"60749-1","","-3,59","2-4"
"60749-2","-3,59","","2-4"
"60749-3","","-3,59","2-4"
"60749-4","","","2-4"
"60749-5","","","2-4"
"60749-6","","","2-4"
"60749-7","","","2-4"
"60749-8","","","2-4"
"60749-9","","","2-4"
"60749-10","","","0-2"
"60749-11","","","0-2"
"60749-12","","","0-2"
"60749-13","","","0-2"
"60749-14","","","0-2"
"60749-15","","","0-2"
"60749-16","","","0-2"
"60749-17","","","0-2"
"60749-18","","","0-2"
"60749-19","","","0-2"
"60749-20","","","0-2"
"60749-21","","","0-2"
"60749-22","","","0-2"
"60749-23","","","0-2"
"60749-24","","","0-2"
"60751-1","-3,66","","2-4"
"60751-2","-3,66","","2-4"
"60751-3","-3,66","","2-4"
"60751-4","-3,66","","2-4"
"60751-5","","","2-4"
"60751-6","","","2-4"
"60751-7","","","2-4"
"60751-8","","","2-4"
"60751-9","","","2-4"
"60751-10","","","2-4"
"60751-11","","","2-4"
"60751-12","","","2-4"
"60751-13","","","2-4"
"60751-14","","","2-4"
"60751-15","","","0-2"
"60751-16","","","0-2"
"60751-17","","","0-2"
"60751-18","","","0-2"
"60751-19","","","0-2"
"60751-20","","","0-2"
"60751-21","","","0-2"
"60751-22","","","0-2"
"60751-23","","","0-2"
"60751-24","","","0-2"
"60751-25","","","0-2"
"60751-26","","","0-2"
"60751-27","","","0-2"
"60751-28","","","0-2"
"60751-29","","","0-2"
"60751-30","","","0-2"
"60751-31","","","0-2"
"60751-32","","","0-2"
"60751-33","","","0-2"
"60751-34","","","0-2"
"60751-35","","","0-2"
"60751-36","","","0-2"
"60751-37","","","0-2"
"60751-38","","","0-2"
"60751-39","","","0-2"
"60699-1","-4,27","","2-4"
"60699-2","","","2-4"
"60699-3","","","2-4"
"60699-4","","","2-4"
"60699-5","","","2-4"
"60699-6","","","2-4"
"60699-7","","","2-4"
"60699-8","","","2-4"
"60699-10","","","2-4"
"60699-11","","","2-4"
"60699-12","","","2-4"
"60699-13","","","2-4"
"60699-14","","","2-4"
"60699-15","","","0-2"
"60699-16","","","0-2"
"60699-17","","","0-2"
"60699-18","","","0-2"
"60699-19","","","0-2"
"60699-20","","","0-2"
"60699-21","","","0-2"
"60699-22","","","0-2"
"60699-23","","","0-2"
"60699-24","","","0-2"
"60699-25","","","0-2"
"60699-26","","","0-2"
"60699-27","","","0-2"
"60699-28","","","0-2"
"60699-29","","","0-2"
"60699-30","","","0-2"
"60699-31","","","0-2"
"60699-32","","","0-2"
"60699-33","","","0-2"
"60699-34","","","0-2"
"60752-1","-3,67","","2-4"
"60752-2","","","2-4"
"60752-3","","","2-4"
"60752-4","","","2-4"
"60752-5","","","2-4"
"60752-6","","","2-4"
"60752-7","","","0-2"
"60752-8","","","0-2"
"60752-9","","","0-2"
"60752-10","","","0-2"
"60752-11","","","0-2"
"60752-12","","","0-2"
"60752-13","","","0-2"
"60752-14","","","0-2"
"60752-15","","","0-2"
"60752-16","","","0-2"
"60752-17","","","0-2"
"60752-18","","","0-2"
"60752-19","","","0-2"
"60752-20","","","0-2"
"60752-21","","","0-2"
"60752-22","","","0-2"
"60752-23","","","0-2"
"60752-24","","","0-2"
"60752-25","","","0-2"
"60752-26","","","0-2"
"60752-27","","","0-2"
"60752-28","","","0-2"
"60752-29","","","0-2"
"60752-30","","","0-2"
"60752-31","","","0-2"
"60752-32","","","0-2"
"60752-33","","","0-2"
