"Site","Activity","Square","depth","soil_volume_cm3","soil_dens_g.cm3","soil_g","charcoal_wood_g","charcoal_endo_g","ceramics_g","slag_g","lithics_g","NA.","NA..1","ceramics","slag","stone","botanics","charcoal","bone","burnt.clay","soil.sample","coin","X.modern..materials","stone.numbers","stones.weight","comments"
"MUK 2018/1030/10",172,"1a",620,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",173,"1a",640,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,"0","Kortex"
"MUK 2018/1030/10",174,"1a",660,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",175,"1b",380,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,"0",NA
"MUK 2018/1030/10",176,"1b",400,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,24.1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,6,"24.1",NA
"MUK 2018/1030/10",177,"1b",420,1570.7963267949,1.3,2042.03522483337,"0.1","0",0,0,0.4,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,"0.4",NA
"MUK 2018/1030/10",178,"1b",440,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",179,"1b",460,1570.7963267949,1.3,2042.03522483337,"0.1","0",0,0,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,"1","0,5g Kortex"
"MUK 2018/1030/10",180,"1b",480,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",181,"1b",500,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,"0","Kortex"
"MUK 2018/1030/10",182,"1b",520,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",183,"1b",540,1570.7963267949,1.3,2042.03522483337,"0.1","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"0","0,6g Kortex"
"MUK 2018/1030/10",184,"1b",560,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",185,"1b",580,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0.5,NA,NA,NA,NA,1,NA,NA,NA,"?",NA,NA,NA,0,"0.5","Kortex und Mineralkonkrat"
"MUK 2018/1030/10",186,"1b",600,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",187,"1b",620,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0.1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,"0","Kortex"
"MUK 2018/1030/10",188,"1b",640,1570.7963267949,1.3,2042.03522483337,"0","0",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",189,"1b",660,1570.7963267949,1.3,2042.03522483337,"0.1","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,5,"0","3 Stück Kortex"
"MUK 2018/1030/10",142,"1b",340,112500,1.3,146250,"0.1","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"0","Aus Verfärbung (Aktivitaet -137 bis -142)"
"MUK 2018/1030/10",190,"1a/1b",140,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",191,"1a/1b",120,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",192,"1a/1b",100,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",193,"1a/1b",80,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",194,"1a/1b",60,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",195,"1a/1b",40,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",196,"1a/1b",20,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",149,"1a/1b",360,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",150,"1a/1b",340,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",151,"1a/1b",320,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",152,"1a/1b",300,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",153,"1a/1b",280,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",154,"1a/1b",260,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",155,"1a/1b",240,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",156,"1a/1b",220,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",157,"1a/1b",200,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",158,"1a/1b",180,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"MUK 2018/1030/10",159,"1a/1b",160,NA,NA,NA,"0","0",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
