"Site","Activity","Square","depth","soil_volume_cm3","soil_dens_g.cm3","soil_g","charcoal_wood_g","charcoal_endo_g","ceramics_g","slag_g","lithics_g","NA.","NA..1","ceramics","slag","stone","botanics","charcoal","bone","burnt.clay","soil.sample","coin","X.modern..materials","stone.numbers","stones.weight","comments"
"MUK 2018/1030/10",43,"3b",60,112500,1.3,146250,"23.0205223880597","51.1567164179104",115.1,31.6,511.2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,6,"511.2",NA
"MUK 2018/1030/10",44,"3c",60,112500,1.3,146250,"12.6","21.4",34.5,20.7,1.4,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,"1",2,"1.4",NA
"MUK 2018/1030/10",45,"3d",60,112500,1.3,146250,"17.419739292365","46.8309124767225",77,0,2.2,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,"2.2","bis hier sortieren"
"MUK 2018/1030/10",46,"1a",80,112500,1.3,146250,"4.6","121.2",9.4,0,7.7,NA,NA,1,NA,1,1,1,NA,"1",NA,NA,"1",9,"7.7","Störung Steine nicht gewogen"
"MUK 2018/1030/10",48,"1b",80,112500,1.3,146250,"9","12.7",12.8,0,1.1,NA,NA,1,NA,1,1,1,NA,"1",NA,NA,"1",2,"1.1",NA
"MUK 2018/1030/10",49,"1c",80,112500,1.3,146250,"1.4","111.2",0,0,0.1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,"0","eigentlich 2 chips, einer szerstört"
"MUK 2018/1030/10",50,"1d",80,112500,1.3,146250,"3.3","48.5",3.7,0,0,NA,NA,1,NA,NA,1,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",51,"2a",80,112500,1.3,146250,"12.3","31.9",0.1,0,0,NA,NA,1,NA,NA,1,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",52,"2b",80,112500,1.3,146250,"16.3","15.8",0,0,0,NA,NA,NA,NA,NA,1,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",53,"2c",80,112500,1.3,146250,"16.4","9.7",4.6,0,123.5,NA,NA,1,NA,1,1,1,NA,"1",NA,NA,NA,1,"123.5",NA
"MUK 2018/1030/10",54,"2d",80,112500,1.3,146250,"30.7","5.8",1,0,0,NA,NA,1,NA,NA,1,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",55,"3a",80,112500,1.3,146250,"34.7","0.7",0,0,0,NA,NA,NA,NA,NA,1,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",56,"3b",80,112500,1.3,146250,"73.5","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",57,"1a",100,112500,1.3,146250,"0.4","3",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",58,"1b",100,112500,1.3,146250,"0.1","0.8",0,0,0,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,NA,NA,"Harz/Bernstein?"
"MUK 2018/1030/10",59,"1c",100,112500,1.3,146250,"4.9","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,"0",NA
"MUK 2018/1030/10",60,"1d",100,112500,1.3,146250,"2.7","0",0,0,1.6,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,1,"1.6",NA
"MUK 2018/1030/10",61,"2a",100,112500,1.3,146250,"1.2","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",62,"2b",100,112500,1.3,146250,"0.1","0.1",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",63,"2c",100,112500,1.3,146250,"62.5","0",0,0,3.7,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,1,"3.7",NA
"MUK 2018/1030/10",64,"2d",100,112500,1.3,146250,"34.4","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",65,"3a",100,112500,1.3,146250,"164.2","0",0,0,39.3,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"39.3","85cm Tiefe"
"MUK 2018/1030/10",66,"3b",100,112500,1.3,146250,"59","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",67,"1a",120,112500,1.3,146250,"12.8","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",68,"1b",120,112500,1.3,146250,"11.2","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",69,"1c",120,112500,1.3,146250,"4.2","0",0,0,0,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,"in einer Tüte"
"MUK 2018/1030/10",70,"1d",120,112500,1.3,146250,"20.2","0",0,0,3.4,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,2,"3.4","Keramikfragment wahrscheinlich verlagert durch Bioturbation"
"MUK 2018/1030/10",71,"2a",120,112500,1.3,146250,"11.4","0",0,0,0,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,NA,NA,"Kortex verworfen"
"MUK 2018/1030/10",72,"2b",120,112500,1.3,146250,"10.8","0.4",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",73,"2c",120,112500,1.3,146250,"5.5","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",74,"2d",120,112500,1.3,146250,"1.4","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",78,"3a",120,112500,1.3,146250,"30.7","0",0,0,0.1,NA,NA,NA,NA,1,NA,1,NA,"1",NA,NA,NA,1,"0",NA
"MUK 2018/1030/10",80,"3b",120,112500,1.3,146250,"74.6","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",81,"1a",140,112500,1.3,146250,"0.4","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",82,"1b",140,112500,1.3,146250,"1.4","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",83,"1c",140,112500,1.3,146250,"0.2","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",84,"1d",140,112500,1.3,146250,"0.1","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
"MUK 2018/1030/10",85,"2a",140,112500,1.3,146250,"2.1","0",0,0,1.7,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,"1.7",NA
"MUK 2018/1030/10",86,"2b",140,112500,1.3,146250,"2.2","0",0,0,0,NA,NA,NA,NA,NA,NA,1,NA,"1",NA,NA,NA,NA,NA,NA
